ID,root_dry_wt,env_wt,env+root_wt,root_notes
RS308,0.091,,,
RS325,0.06,,,
RS327,0.093,,,
RS300,0.073,,,
RS221,0.064,,,
RS448,0.094,,,
RS409,0.075,,,
RS345,0.088,,,
RS252,0.075,,,
RS173,0.111,,,
RS245,0.053,,,
RS177,0.09,,,
RS561,0.067,,,
RS407,0.121,,,
RS022,0.079,,,
RS540,0.03,,,
RS013,0.071,,,
RS538,0.078,,,
RS502,0.086,,,
RS129,0.054,,,
RS239,0.111,,,
RS181,0.064,,,
RS301,0.05,,,
RS271,0.086,,,
RS222,0.054,,,
RS510,0.065,,,
RS044,0.064,,,
RS140,0.117,,,
RS526,0.062,,,
RS396,0.082,,,
RS131,0.064,,,
RS212,0.073,,,
RS423,0.119,,,
RS469,0.055,,,
RS307,0.054,,,
RS224,0.066,,,
RS320,0.07,,,
RS027,0.079,,,
RS390,0.048,,,
RS583,0.073,,,
RS304,0.118,,,
RS065,0.083,,,
RS516,0.086,,,
RS270,0.14,,,
RS458,0.099,,,
RS241,0.043,,,
RS551,0.096,,,
RS054,0.127,,,
RS475,0.097,,,
RS028,0.044,,,
RS471,0.093,,,
RS518,0.059,,,
RS482,0.076,,,
RS145,0.056,,,
RS083,0.057,,,
RS095,0.082,,,
RS134,0.077,,,
RS234,0.06,,,
RS111,0.088,,,
RS093,0.073,,,
RS440,0.071,,,
RS426,0.113,,,
RS172,0.079,,,
RS031,0.068,,,
RS202,0.246,,,DEAD
RS408,0.251,,,DEAD
RS248,0.272,,,DEAD
RS371,0.103,,,DEAD
RS394,0.134,,,DEAD
RS068,0.127,,,DEAD
RS441,0.189,,,DEAD
RS420,0.179,,,DEAD
RS048,0.154,,,DEAD
RS548,0.11,,,DEAD
RS176,0.183,,,DEAD
RS039,0.086,,,DEAD
RS396,0.119,,,DEAD
RS415,0.193,,,DEAD
RS430,0.231,,,DEAD
RS252,0.11,,,DEAD
RS197,0.086,,,
RS112,0.047,,,
RS076,0.065,,,
RS558,0.105,,,
RS514,0.101,,,
RS322,0.04,,,
RS483,0.04,,,
RS190,0.09,,,
RS026,0.059,,,
RS450,0.039,,,
RS434,0.098,,,
RS273,0.08,,,
RS549,0.058,,,
RS402,0.043,,,
RS481,0.066,,,
RS486,0.065,,,
RS578,0.045,,,
RS205,0.068,,,
RS227,0.056,,,
RS520,0.041,,,
RS567,0.082,,,
RS354,0.075,,,
RS457,0.046,,,
RS392,0.059,,,
RS066,0.089,,,
RS318,0.095,,,
RS200,0.095,,,
RS404,0.052,,,
RS470,0.061,,,
RS019,0.057,,,
RS165,0.071,,,
RS133,0.08,,,
RS074,0.065,,,
RS184,0.102,,,
RS121,0.088,,,
RS244,0.049,,,
RS574,0.042,,,
RS188,0.067,,,
RS007,0.073,,,
RS368,0.085,,,
RS293,0.1,,,
RS296,0.087,,,
RS141,0.05,,,
RS328,0.08,,,
RS446,0.067,,,
RS016,0.059,,,
RS575,0.101,,,
RS413,0.056,,,
RS003,0.053,1.36,1.54,
RS503,0.069,1.39,1.51,
RS166,0.059,1.47,1.66,
RS382,0.085,1.39,1.69,
RS272,0.077,1.37,1.58,
RS343,0.072,1.36,1.62,
RS280,0.09,1.34,1.69,
RS562,0.076,1.36,1.56,
RS381,0.064,1.38,1.54,
RS406,0.069,1.37,1.6,
RS116,0.064,1.34,1.54,
RS275,0.063,1.36,1.53,
RS150,0.042,1.38,1.5,
RS385,0.059,1.35,1.58,
RS189,0.029,1.36,1.41,
RS397,0.067,1.39,1.51,
RS298,0.098,1.36,1.79,
RS161,0.102,1.37,1.85,
RS029,0.096,1.37,1.63,
RS521,0.055,1.36,1.52,
RS467,0.088,1.35,1.65,
RS416,0.073,1.37,1.6,
RS220,0.035,1.37,1.44,
RS348,0.111,1.35,1.76,
RS146,0.069,1.35,1.56,
RS017,0.097,1.36,1.67,
RS489,0.055,1.5,1.64,
RS590,0.069,1.49,1.7,
RS507,0.062,1.35,1.57,
RS585,0.079,1.35,1.64,
RS292,0.05,1.47,1.63,
RS449,0.08,1.35,1.58,
RS285,0.078,1.49,1.79,
RS414,0.062,1.49,1.67,
RS052,0.05,1.47,1.65,
RS???,0.049,1.47,1.6,
RS454,0.074,1.45,1.71,
RS311,0.063,1.51,1.73,
RS204,0.06,1.49,1.68,
RS045,0.101,1.52,1.84,
RS493,0.083,1.48,1.79,
RS599,0.096,1.5,1.79,
RS206,0.089,1.47,1.84,
RS534,0.034,1.46,1.58,
RS463,0.062,1.45,1.63,
RS316,0.055,1.34,1.41,
RS214,0.076,1.36,1.54,
RS478,0.05,1.37,1.53,
RS587,0.049,1.41,1.53,
RS544,0.062,1.37,1.53,
RS484,0.044,1.36,1.52,
RS488,0.073,1.34,1.58,
RS124,0.07,1.35,1.56,
RS517,0.05,1.36,1.48,
RS097,0.092,1.37,1.63,
RS582,0.103,1.49,1.81,
RS525,0.081,1.35,1.59,
RS005,0.035,1.36,1.45,
RS351,0.061,1.36,1.54,
RS505,0.085,1.35,1.57,
RS523,0.066,1.34,1.49,