ID,shoot_dry_wt,shoot_notes
RS558,0.096,
RS453,0.09,
RS274,0.061,
RS456,0.052,
RS437,0.062,
RS100,0.057,
RS564,0.037,
RS059,0.05,
RS389,0.05,
RS147,0.067,
RS600,0.06,
RS069,0.049,
RS498,0.042,
RS378,0.065,
RS081,0.09,
RS512,0.074,
RS056,0.061,
RS259,0.1,
RS445,0.071,
RS256,0.08,
RS533,0.068,
RS400,0.065,
RS208,0.059,
RS136,0.09,
RS169,0.057,
RS360,0.046,
RS245,0.073,
RS469,0.07,
RS028,0.068,
RS181,0.049,
RS484,0.039,
RS540,0.039,
RS587,0.065,
RS279,0.069,
RS432,0.076,
RS494,0.052,
RS174,0.061,
RS553,0.079,
RS447,0.101,
RS178,0.066,
RS366,0.068,
RS419,0.049,
RS073,0.056,
RS027,0.071,
RS307,0.059,
RS426,0.103,
RS308,0.084,
RS440,0.063,
RS054,0.116,
RS325,0.066,
RS197,0.089,
RS111,0.095,
RS241,0.036,
RS300,0.067,
RS112,0.068,
RS482,0.098,
RS172/078,0.047,
RS083,0.055,
RS526,0.071,
RS409,0.073,
RS488,0.061,
RS134,0.068,
RS026,0.064,
RS517,0.054,
RS523,0.073,
RS441,0.068,DEAD
RS156,0.091,DEAD
RS415,0.07,DEAD
RS394,0.083,DEAD
RS039,0.053,DEAD
RS420,0.085,DEAD
RS068,0.075,DEAD
RS048,0.066,DEAD
RS202,0.082,DEAD
RS248,0.078,DEAD
RS371,0.048,DEAD
RS408,0.071,DEAD
RS108,0.069,DEAD
RS176,0.05,DEAD
RS430,0.076,DEAD
RS548,0.066,DEAD
RS500,0.062,
RS???,0.065,
RS470,0.051,
RS582,0.091,
RS255,0.086,
RS292,0.054,
RS311,0.067,
RS454,0.063,
RS592,0.068,
RS554,0.071,
RS143,0.061,
RS573,0.041,
RS367,0.072,
RS546,0.102,
RS011,0.059,
RS536,0.07,
RS155,0.069,
RS242,0.069,
RS506,0.052,
RS272,0.068,
RS343,0.065,
RS007,0.089,
RS121,0.094,
RS184,0.08,
RS467,0.062,
RS413,0.058,
RS141,0.057,
RS133,0.079,
RS416,0.073,
RS029,0.078,
RS397,0.07,
RS189,0.047,
RS146,0.071,
RS293,0.082,
RS590,0.072,
RS296,0.07,
RS574,0.058,
RS311,0.058,
RS406,0.073,
RS381,0.063,
RS562,0.079,
RS280,0.063,
RS348,0.073,
RS161,0.08,
RS298,0.097,
RS385,0.071,
RS150,0.04,
RS446,0.055,
RS507,0.087,
RS575/499,0.07,
RS244,0.067,
RS585,0.076,
RS220,0.072,
RS016,0.076,
RS116,0.059,
RS275,0.082,
RS328,0.074,
RS017,0.067,
RS074,0.056,
RS489,0.087,
RS503,0.089,
RS003,0.054,
RS116,0.059,
RS368,0.087,
RS165,0.096,
RS382,0.063,
RS521,0.081,
RS396,0.08,
RS252,0.069,
RS448,0.066,
RS173,0.063,
RS322,0.055,
RS093,0.111,
RS190,0.088,
RS434,0.082,
RS076,0.08,
RS505,0.07,
RS392,0.064,
RS238,0.066,
RS052,0.07,
RS045,0.086,
RS578,0.056,
RS493,0.075,
RS318,0.094,
RS599,0.078,
RS205,0.077,
RS206,0.069,
RS457,0.058,
RS200,0.1,
RS534,0.037,
RS463,0.056,
RS284,0.059,
RS358,0.073,
RS079,0.073,
RS250,0.081,
RS247,0.054,
RS099,0.047,
RS372,0.071,
RS354,0.099,
RS319,0.067,
RS414,0.073,
RS018,0.084,
RS313,0.074,
RS567,0.073,
RS295,0.075,
RS047,0.077,
RS075,0.09,
RS186,0.078,
RS297,0.089,
RS463,0.072,
RS230,0.069,
RS388,0.072,
RS229,0.067,
RS375,0.05,
RS201,0.075,
RS264,0.094,
RS066,0.082,
RS486,0.064,
RS329,0.069,
RS436,0.099,
RS151,0.082,
RS195,0.115,
RS227,0.073,
RS404,0.069,
RS370,0.065,
RS281,0.063,
RS499,0.037,
RS204,0.064,
RS520,0.053,
RS285,0.046,
RS178,0.052,
RS351,0.07,
RS129,0.061,
RS022,0.102,
RS130,0.033,
RS239,0.104,
RS212,0.078,
RS483,0.054,
RS031,0.064,
RS345,0.103,
RS320,0.062,
RS327,0.069,
RS224,0.066,
RS423,0.124,
RS475,0.106,
RS502,0.057,
RS177,0.064,
RS544,0.088,
RS449,0.057,
RS301,0.062,
RS561,0.069,
RS316,0.075,
RS214,0.073,
RS407,0.097,
RS478,0.066,
RS271,0.103,
RS270,0.12,
RS390,0.096,
RS078,0.083,
RS399,0.07,
RS211,0.06,
RS418,0.072,
RS442,0.067,
RS353,0.076,
RS581,0.075,
RS023,0.064,
RS131,0.069,
RS148,0.054,
RS276,0.083,
RS516,0.057,
RS228,0.034,
RS097,0.065,
RS005,0.05,
RS525,0.084,
RS222,0.06,
RS013,0.041,
RS044,0.077,
RS481,0.065,
RS538,0.08,
RS065,0.082,
RS402,0.041,
RS510,0.058,
RS305,0.098,
RS583,0.067,
RS140,0.103,
RS019,0.052,
RS471,0.07,
RS124,0.068,
RS234,0.062,
RS551,0.078,
RS549,0.07,
RS450,0.065,
RS273,0.078,
RS514,0.088,
RS458,0.067,
RS095,0.086,
RS221,0.08,
RS528,0.031,
RS518,0.075,
RS145,0.072,