Date,Time_water_potential,Plant_ID,Water_potential_negative_MPa,Water_potential_negative_bar,Water_potential_MPa,Water_potential_notes
3/22/2022,15:04,RS210,,75.45,-7.545,
3/22/2022,14:10,RS265,,NA,#VALUE!,no water to 49.30 bar - embolized?
3/22/2022,14:22,RS425,,NA,#VALUE!,>81
3/22/2022,14:39,RS537,,68,-6.8,
3/22/2022,13:40,RS305,,13.73,-1.373,
3/22/2022,18:41,RS194,,9.25,-0.925,
3/22/2022,18:36,RS226,,11.45,-1.145,
3/22/2022,18:44,RS030,,13.81,-1.381,
3/22/2022,18:38,RS495,,11.06,-1.106,
3/22/2022,18:34,RS594,,8.71,-0.871,
3/22/2022,18:30,RS182,,12.44,-1.244,
3/22/2022,14:57,RS314,,75,-7.5,
3/22/2022,13:54,RS563,,NA,#VALUE!,no water to 49.77 bar - embolized?
3/22/2022,14:15,RS159,,47.45,-4.745,
3/22/2022,15:25,RS160,,NA,#VALUE!,">70 - stem slipped out, tried several times"
3/22/2022,13:48,RS123,,20.57,-2.057,
3/23/2022,16:05,RS289,,5.97,-0.597,
3/23/2022,16:09,RS299,,22.3,-2.23,
3/23/2022,15:32,RS497,,23.3,-2.33,
3/23/2022,15:57,RS435,,18.9,-1.89,
3/23/2022,15:24,RS303,,9.5,-0.95,
3/23/2022,14:54,RS580,,32.85,-3.285,
3/23/2022,14:43,RS589,,NA,#VALUE!,no clear change to >50 bar
3/23/2022,15:17,RS391,,19.5,-1.95,9.4 outer ring wet; 19.5 more toward center; 45.8 whole surface shines; not dark to >50
3/23/2022,17:25,RS541,,13.1,-1.31,
3/23/2022,17:12,RS309,,12.1,-1.21,"two stems. stem A = 12.10, stem B = 15.52"
3/23/2022,16:57,RS411,,12.83,-1.283,
3/23/2022,15:50,RS164,,16.4,-1.64,5.8 dark patch; 16.4 more of it dark
3/23/2022,15:38,RS103,,19.1,-1.91,19.1 part of xylem dark; definitely by 25
3/23/2022,15:45,RS405,,19.1,-1.91,6.93 middle darker; 19.1 rest of xylem a little darker
3/23/2022,14:23,RS233,,48.54,-4.854,
3/23/2022,14:31,RS543,,NA,#VALUE!,no clear change to 70 bar
3/23/2022,15:10,RS306,,24.9,-2.49,15.95 ring darkened; 24.9 a bit dark in middle; no other change to 50 bar
3/23/2022,17:35,RS203,,10.43,-1.043,
3/23/2022,17:33,RS342,,9,-0.9,
3/23/2022,17:28,RS413,,12.51,-1.251,
3/23/2022,17:20,RS070,,17.1,-1.71,
3/23/2022,17:01,RS326,,19.62,-1.962,
3/23/2022,16:53,RS180,,14.55,-1.455,
3/23/2022,15:33,RS542,,17.95,-1.795,
3/23/2022,15:00,RS240,,NA,#VALUE!,not clear
3/24/2022,17:08,RS287,,9.48,-0.948,
3/24/2022,17:13,RS213,,17.38,-1.738,
3/24/2022,17:20,RS461,,12.69,-1.269,
3/24/2022,10:53,RS566,,13.02,-1.302,
3/24/2022,11:14,RS243,,14.07,-1.407,
3/24/2022,11:22,RS168,,12.12,-1.212,
3/24/2022,14:55,RS018,,13,-1.3,
3/24/2022,14:44,RS075,,15.82,-1.582,
3/24/2022,14:32,RS151,,12.9,-1.29,
3/24/2022,14:19,RS313,,14.63,-1.463,
3/24/2022,14:10,RS047,,10.64,-1.064,
3/24/2022,14:00,RS186,,14.49,-1.449,
3/24/2022,13:49,RS284,,10.55,-1.055,
3/24/2022,13:47,RS230,,5.6,-0.56,
3/24/2022,15:25,RS195,,14.45,-1.445,
3/24/2022,15:39,RS436,,11.96,-1.196,
3/24/2022,15:44,RS592,,5.49,-0.549,
3/24/2022,15.56,RS247,,10.01,-1.001,
3/24/2022,16:02,RS372,,22.88,-2.288,
3/24/2022,17:02,RS155,,8.91,-0.891,
3/24/2022,17:16,RS324,,8.17,-0.817,
3/24/2022,17:22,RS576,,14.03,-1.403,
3/24/2022,11:11,RS10,,9.78,-0.978,
3/24/2022,11:11,RS261,,17.5,-1.75,
3/24/2022,11:28,RS568,,9.47,-0.947,
3/24/2022,14:51,RS011,,17.11,-1.711,
3/24/2022,14:35,RS370,,23.54,-2.354,
3/24/2022,14:25,RS250,,19.07,-1.907,
3/24/2022,14:13,RS358,,16.15,-1.615,
3/24/2022,13:58,RS297,,12.55,-1.255,
3/24/2022,13:52,RS463,,15.18,-1.518,
3/24/2022,15:28,RS552,,15.35,-1.535,
3/24/2022,15.34,RS207,,5.92,-0.592,
3/24/2022,15:46,RS554,,10.87,-1.087,
3/24/2022,15:53,RS367,,21.99,-2.199,
3/24/2022,16:06,RS536,,11.52,-1.152,
3/24/2022,16:50,RS057,,11.11,-1.111,
3/24/2022,16:54,RS229,,17.41,-1.741,
3/24/2022,17:11,RS295,,12.47,-1.247,
3/24/2022,10:44,RS522,,16.62,-1.662,
3/24/2022,11:11,RS231,,14.83,-1.483,
3/24/2022,11:11,RS374,,8.28,-0.828,
3/24/2022,11:18,RS283,,15.02,-1.502,
3/24/2022,11:25,RS167,,13.8,-1.38,
3/24/2022,11:32,RS487,,14.52,-1.452,
3/24/2022,14:48,RS375,,18.88,-1.888,
3/24/2022,14.42,RS500,,13.72,-1.372,
3/24/2022,14:39,RS281,,17.45,-1.745,
3/24/2022,14:29,RS264,,14.6,-1.46,
3/24/2022,14:16,RS079,,19.08,-1.908,
3/24/2022,14:04,RS263,,17.75,-1.775,
3/24/2022,13:41,RS388,,9.15,-0.915,
3/24/2022,15:19,RS531,,21.45,-2.145,
3/24/2022,15:23,RS499,,12.99,-1.299,
3/24/2022,15:31,RS588,,21.05,-2.105,
3/24/2022,15:36,RS201,,17.85,-1.785,
3/24/2022,15:42,RS546,,15.86,-1.586,
3/24/2022,15:49,RS573,,12.71,-1.271,
3/24/2022,15.58,RS099,,15.91,-1.591,
3/24/2022,16:08,RS143,,11.98,-1.198,
3/24/2022,16:14,RS319,,15.73,-1.573,
3/24/2022,16:58,RS217,,19.47,-1.947,
3/24/2022,17:05,RS410,,17.38,-1.738,
3/24/2022,17:12,RS431,,6.13,-0.613,
3/24/2022,17:17,RS569,,16.48,-1.648,
3/24/2022,19:45,RS211,,26.6,-2.66,
3/24/2022,19:28,RS136,,18.77,-1.877,
3/24/2022,19:13,RS498,,23.63,-2.363,
3/24/2022,19:21,RS259,,16.1,-1.61,
3/24/2022,17:38,RS059,,NA,#VALUE!,"~37, not clear"
3/24/2022,19:56,RS078,,22.62,-2.262,
3/24/2022,19:49,RS399,,NA,#VALUE!,">55, not clear"
3/24/2022,19:18,RS169,,15.28,-1.528,
3/24/2022,19:32,RS208,,29.32,-2.932,
3/24/2022,17:49,RS437,,39.21,-3.921,
3/24/2022,19:05,RS081,,13.31,-1.331,
3/24/2022,19:02,RS533,,18.57,-1.857,
3/24/2022,19:10,RS378,,14.39,-1.439,
3/24/2022,19:24,RS360,,18.36,-1.836,
3/24/2022,19:32,RS400,,NA,#VALUE!,"not clear, >50"
3/24/2022,13:52,RS463,,15.18,-1.518,
3/25/2022,13:25,RS535,,16.95,-1.695,"xylem unambiguously dark (only part of it, though)"
3/25/2022,13:29,RS468,,24.34,-2.434,xylem dark
3/25/2022,13:36,RS102,,34.13,-3.413,xylem wet
3/25/2022,13:41,RS357,,26.34,-2.634,pretty subtle
3/25/2022,13:48,RS084,,NA,#VALUE!,not clear
3/25/2022,13:52,RS373,,13.73,-1.373,clear
3/25/2022,13:55,RS508,,28.6,-2.86,subtle
3/25/2022,14:02,RS572,,27.22,-2.722,part of xylem dark
3/25/2022,14:09,RS191,,10.29,-1.029,very clear
3/25/2022,14:10,RS393,,17.05,-1.705,very clear
3/25/2022,14:13,RS396,,23.6,-2.36,very clear
3/25/2022,14:17,RS346,,NA,#VALUE!,"not clear, only part of xylem wet at 27 bar"
3/25/2022,14:29,RS215,,13.65,-1.365,
3/25/2022,14:31,RS248,,33.4,-3.34,"not super clear, only a few patches on xylem wet"
3/25/2022,14:36,RS571,,13.7,-1.37,very clear
3/25/2022,14:40,RS547,,14.35,-1.435,pretty subtle
3/25/2022,14:51,RS361,,10.89,-1.089,very clear
3/25/2022,14:54,RS225,,10.34,-1.034,very clear
3/25/2022,14:57,RS476,,27.01,-2.701,very clear
3/25/2022,15:02,RS530,,17.55,-1.755,very clear
3/25/2022,15:52,RS524,,34.5,-3.45,pretty subtle
3/25/2022,15:59,RS442,,35.42,-3.542,very clear
3/25/2022,16:09,RS494,,20.58,-2.058,very clear
3/25/2022,16:09,RS100,,18.26,-1.826,very clear
3/25/2022,16:12,RS553,,42.9,-4.29,very clear
3/25/2022,16:19,RS447,,51.54,-5.154,"outer ring darker, no other change, probably true value > 50 bar or embolized."
3/25/2022,16:29,RS178,,15.3,-1.53,clear
3/25/2022,16:33,RS366,,20.79,-2.079,clear
3/25/2022,16:37,RS389,,23.7,-2.37,clear
3/25/2022,16:41,RS419,,32.97,-3.297,clear
3/25/2022,16:50,RS073,,20.23,-2.023,very clear
3/25/2022,16:58,RS147,,22.32,-2.232,very clear
3/25/2022,17:02,RS056,,15.95,-1.595,very clear
3/25/2022,17:03,RS512,,28.91,-2.891,"only part of xylem wet, subtle to > 50 bar"
3/25/2022,17:16,RS600,,20.99,-2.099,"18.29 ring around outside of xylem dark, 20.99 whole xylem dark."
3/25/2022,17:20,RS069,,NA,#VALUE!,">50 bar, never changed."
3/25/2022,17:25,RS456,,22.25,-2.225,clear
3/25/2022,17:28,RS564,,33.45,-3.345,clear (initial minor color change at 7.98)
3/29/2022,13:38,RS292,,26.45,-2.645,very clear
3/29/2022,13:44,RS255,,14.61,-1.461,very clear
3/29/2022,13:48,RS582,,28.02,-2.802,very clear
3/29/2022,13:54,RS470,,15,-1.5,very clear
3/29/2022,13:59,no number,,22.89,-2.289,very clear
3/29/2022,14:04,RS238,,15.97,-1.597,very clear
3/29/2022,14:08,RS052,,18.75,-1.875,very clear
3/29/2022,14:15,RS392,,14.92,-1.492,very clear
3/29/2022,14:18,RS178,,16.46,-1.646,very clear
3/29/2022,14:21,RS285,,20.77,-2.077,very clear
3/29/2022,14:28,RS520,,21.14,-2.114,very clear
3/29/2022,14:32,RS463,,20.1,-2.01,very clear
3/29/2022,14:35,RS534,,30.8,-3.08,very clear
3/29/2022,14:40,RS200,,12.91,-1.291,very clear
3/29/2022,14:43,RS457,,22.31,-2.231,very clear
3/29/2022,14:47,RS206,,25.83,-2.583,very clear
3/29/2022,14:51,RS205,,23.75,-2.375,very clear
3/29/2022,14:55,RS599,,24.15,-2.415,very clear
3/29/2022,14:55,RS599,,24.15,-2.415,very clear
3/29/2022,14:58,RS318,,11.18,-1.118,very clear
3/29/2022,15:01,RS493,,15.96,-1.596,very clear
3/29/2022,15:04,RS578,,18.79,-1.879,very clear
3/29/2022,15:07,RS045,,16.29,-1.629,very clear
3/29/2022,15:11,RS204,,19.07,-1.907,very clear
3/29/2022,15:15,RS486,,14.62,-1.462,very clear
3/29/2022,15:18,RS354,,12.55,-1.255,very clear
3/29/2022,15:21,RS414,,9.52,-0.952,very clear
3/29/2022,15:24,RS404,,14.24,-1.424,very clear
3/29/2022,15:27,RS227,,18.19,-1.819,very clear
3/29/2022,15:32,RS454,,21.17,-2.117,very clear
3/29/2022,15:35,RS311,,16.61,-1.661,very clear
3/29/2022,15:39,RS567,,16.48,-1.648,very clear
3/29/2022,15:42,RS066,,16.22,-1.622,very clear
4/1/2022,11:45,RS016,0.74,,-0.74,very clear
4/1/2022,11:49,RS220,1.205,,-1.205,very clear
4/1/2022,11:53,RS585,0.945,,-0.945,very clear
4/1/2022,11:57,RS244,1.167,,-1.167,very clear
4/1/2022,12:01,RS507,1.292,,-1.292,very clear
4/1/2022,12:04,RS575,1.906,,-1.906,"could also be RS499, both labels are on the bag."
4/1/2022,12:09,RS446,1.338,,-1.338,very clear
4/1/2022,12:13,RS017,1.195,,-1.195,very clear
4/1/2022,12:16,RS328,1.626,,-1.626,very clear
4/1/2022,12:20,RS489,1.693,,-1.693,very clear
4/1/2022,12:23,RS074,1.319,,-1.319,very clear
4/1/2022,12:27,RS396,2.019,,-2.019,very clear
4/1/2022,12:31,RS590,2.005,,-2.005,very clear
4/1/2022,12:35,RS293,1.263,,-1.263,very clear
4/1/2022,12:38,RS116,1.005,,-1.005,very clear
4/1/2022,12:42,RS382,1.766,,-1.766,very clear
4/1/2022,12:45,RS165,1.932,,-1.932,very clear
4/1/2022,12:48,RS368,1.03,,-1.03,very clear
4/1/2022,12:51,RS272,1.773,,-1.773,very clear
4/1/2022,12:54,RS007,1.276,,-1.276,very clear
4/1/2022,12:57,RS343,2.023,,-2.023,very clear
4/1/2022,13:01,RS003,1.832,,-1.832,very clear
4/1/2022,13:03,RS311,0.912,,-0.912,very clear
4/1/2022,13:06,RS574,1.485,,-1.485,very clear
4/1/2022,13:09,RS503,NA,,#VALUE!,"VERY dry, >5.1 -MPa"
4/1/2022,14:21,RS150,0.745,,-0.745,very clear
4/1/2022,14:27,RS385,1.02,,-1.02,very clear
4/1/2022,14:30,RS189,1.179,,-1.179,very clear
4/1/2022,14:33,RS397,NA,,#VALUE!,"too dry, >3.5; still too dry >7.7"
4/1/2022,14:48,RS298,0.847,,-0.847,very clear
4/1/2022,14:50,RS161,1.664,,-1.664,very clear
4/1/2022,14:53,RS029,1.713,,-1.713,very clear
4/1/2022,14:56,RS521,1.11,,-1.11,very clear
4/1/2022,14:58,RS184,0.698,,-0.698,very clear
4/1/2022,15:00,RS121,NA,,#VALUE!,"too dry; xylem a little dark at 2.799, >6.5 still no clear wetness."
4/1/2022,15:08,RS467,1.45,,-1.45,very clear
4/1/2022,15:10,RS413,0.725,,-0.725,very clear
4/1/2022,15:12,RS141,1.518,,-1.518,very clear
4/1/2022,15:15,RS416,1.22,,-1.22,very clear
4/1/2022,15:17,RS133,0.667,,-0.667,very clear
4/1/2022,15:19,RS146,1.798,,-1.798,very clear
4/1/2022,15:58,RS348,0.821,,-0.821,very clear
4/1/2022,16:00,RS280,1.094,,-1.094,very clear
4/1/2022,16:02,RS562,1.279,,-1.279,very clear
4/1/2022,16:05,RS381,1.521,,-1.521,very clear
4/1/2022,16:08,RS406,1.242,,-1.242,very clear
4/1/2022,16:10,RS116,0.848,,-0.848,very clear
4/1/2022,16:13,RS275,0.949,,-0.949,very clear
4/5/2022,13:16,RS558,1.166,,-1.166,very clear
4/5/2022,13:20,RS145,1.229,,-1.229,very clear
4/5/2022,13:22,RS518,1.115,,-1.115,very clear
4/5/2022,13:24,RS528,2.085,,-2.085,very clear
4/5/2022,13:27,RS221,1.729,,-1.729,very clear
4/5/2022,13:29,RS095,1.766,,-1.766,very clear
4/5/2022,13:32,RS458,2.483,,-2.483,very clear
4/5/2022,13:35,RS514,1.426,,-1.426,very clear
4/5/2022,13:37,RS273,1.872,,-1.872,very clear
4/5/2022,13:41,RS450,1.893,,-1.893,very clear
4/5/2022,13:47,RS549,1.847,,-1.847,very clear
4/5/2022,13:50,RS551,1.803,,-1.803,very clear
4/5/2022,13:53,RS351,2.326,,-2.326,very clear
4/5/2022,13:57,RS505,2.709,,-2.709,very clear
4/5/2022,14:01,RS234,1.568,,-1.568,very clear
4/5/2022,14:04,RS124,2.32,,-2.32,very clear
4/5/2022,14:07,RS488,1.546,,-1.546,very clear
4/5/2022,14:09,RS124,2.34,,-2.34,very clear
4/5/2022,14:13,RS026,0.9,,-0.9,very clear
4/5/2022,14:15,RS517,2.61,,-2.61,very clear
4/5/2022,14:18,RS523,3.245,,-3.245,very clear
4/5/2022,17:10,RS054,1.141,,-1.141,very clear
4/5/2022,17:15,RS440,1.552,,-1.552,very clear
4/5/2022,17:19,RS308,2.18,,-2.18,very clear
4/5/2022,17:23,RS426,0.959,,-0.959,very clear
4/5/2022,17:27,RS197,1.104,,-1.104,very clear
4/5/2022,17:41,RS325,1.201,,-1.201,very clear
4/5/2022,17:44,RS078,1.823,,-1.823,Could also be RS172
4/5/2022,17:50,RS112,1.829,,-1.829,very clear
4/5/2022,17:53,RS300,1.405,,-1.405,very clear
4/5/2022,17:57,RS241,1.757,,-1.757,very clear
4/5/2022,18:01,RS322,2.012,,-2.012,very clear
4/5/2022,18:05,RS093,1.338,,-1.338,very clear
4/5/2022,18:09,RS482,2.21,,-2.21,very clear
4/5/2022,18:14,RS111,1.444,,-1.444,very clear
4/5/2022,18:23,RS083,2.06,,-2.06,very clear
4/5/2022,18:27,RS526,1.857,,-1.857,very clear
4/5/2022,18:31,RS076,1.454,,-1.454,very clear
4/5/2022,18:35,RS434,2.551,,-2.551,very clear
4/5/2022,18:39,RS190,1.821,,-1.821,very clear
4/14/2022,13:40,RS409,1.082,,-1.082,very clear
4/14/2022,13:44,RS173,2.392,,-2.392,very clear
4/14/2022,13.47,RS469,0.791,,-0.791,very clear
4/14/2022,13:48,RS245,1.23,,-1.23,very clear
4/14/2022,13:50,RS345,1.696,,-1.696,very clear
4/14/2022,13:53,RS031,1.314,,-1.314,very clear
4/14/2022,13:54,RS483,1.15,,-1.15,very clear
4/14/2022,13:57,RS212,2.281,,-2.281,very clear
4/14/2022,13:59,RS475,1.49,,-1.49,very clear
4/14/2022,14:01,RS423,3.363,,-3.363,very clear
4/14/2022,14:05,RS224,NA,,#VALUE!,"too dry, >5.0 Shoot is CRISPY."
4/14/2022,14:11,RS327,0.892,,-0.892,very clear
4/14/2022,14:13,RS320,0.932,,-0.932,very clear
4/14/2022,14:14,RS027,0.655,,-0.655,very clear
4/14/2022,14:16,RS307,0.921,,-0.921,very clear
4/14/2022,14:37,RS131,0.817,,-0.817,very clear
4/14/2022,14:41,RS448,0.972,,-0.972,very clear
4/14/2022,14:44,RS396,0.793,,-0.793,very clear
4/14/2022,14:46,RS252,0.948,,-0.948,very clear
4/8/2022,13:15,RS525,1.719,,-1.719,very clear
4/8/2022,13:21,RS005,1.148,,-1.148,very clear
4/8/2022,13:24,RS097,2.717,,-2.717,very clear
4/8/2022,13:30,RS228,1.547,,-1.547,very clear
4/8/2022,13:34,RS516,0.696,,-0.696,very clear
4/8/2022,13:36,RS471,2.081,,-2.081,very clear
4/8/2022,13:40,RS019,NA,,#VALUE!,"Unreasonably dry (>8.4??), not measureable"
4/8/2022,13:54,RS140,1.481,,-1.481,very clear
4/8/2022,13:57,RS583,1.085,,-1.085,very clear
4/8/2022,13:59,RS305,1.493,,-1.493,very clear
4/8/2022,14:01,RS510,1.402,,-1.402,very clear
4/8/2022,14:03,RS065,0.925,,-0.925,very clear
4/8/2022,14:05,RS402,1.138,,-1.138,bag not perfectly zipped.
4/8/2022,14:07,RS538,1.374,,-1.374,very clear
4/8/2022,14:10,RS481,2.185,,-2.185,very clear
4/8/2022,14:12,RS044,1.547,,-1.547,very clear
4/8/2022,14:14,RS013,1.372,,-1.372,very clear
4/8/2022,14:17,RS222,2.261,,-2.261,very clear
4/8/2022,15:18,RS129,1.04,,-1.04,very clear
4/8/2022,15:20,RS022,1.365,,-1.365,very clear
4/8/2022,15:25,RS239,1.132,,-1.132,very clear
4/8/2022,15:27,RS130,1.244,,-1.244,very clear
4/8/2022,15:30,RS390,3.548,,-3.548,"one spot of xylem wet. Cut end never wet >6.0, seedling looks dried out/crispy."
4/8/2022,15:37,RS270,1.07,,-1.07,
4/8/2022,15:39,RS271,1.196,,-1.196,
4/8/2022,15:42,RS478,0.902,,-0.902,
4/8/2022,15:44,RS407,1.07,,-1.07,
4/8/2022,15:48,RS214,2.667,,-2.667,
4/8/2022,15:53,RS316,NA,,#VALUE!,">3.3, bad seal but definitely too dry for a good reading. Crispy shoot."
4/8/2022,15:56,RS561,1.322,,-1.322,
4/8/2022,15:58,RS301,0.932,,-0.932,
4/8/2022,16:00,RS449,1,,-1,
4/8/2022,16:02,RS177,1.188,,-1.188,
4/8/2022,16:04,RS544,0.943,,-0.943,
4/8/2022,16:07,RS502,1.828,,-1.828,
4/8/2022,16:09,RS587,2.327,,-2.327,
4/8/2022,16:11,RS540,2.122,,-2.122,
4/8/2022,16:14,RS484,2.199,,-2.199,
4/8/2022,16:17,RS181,1.058,,-1.058,
4/8/2022,16:20,RS028,1.111,,-1.111,
3/23/2022,NA,RS242,Not measured,,,
3/23/2022,NA,RS438,Not measured,,,
3/23/2022,NA,RS329,Not measured,,,
3/23/2022,NA,RS049,Not measured,,,
3/23/2022,NA,RS110,Not measured,,,
3/23/2022,NA,RS376,Not measured,,,
3/23/2022,NA,RS376,Not measured,,,
3/23/2022,NA,RS267,Not measured,,,
3/23/2022,NA,RS511,Not measured,,,
3/23/2022,NA,RS424,Not measured,,,
3/23/2022,NA,RS209,Not measured,,,
3/23/2022,NA,RS403,Not measured,,,
3/23/2022,NA,RS144,Not measured,,,
3/23/2022,NA,RS506,Not measured,,,
3/23/2022,NA,RS312,Not measured,,,
3/23/2022,NA,RS595,Not measured,,,